"","resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","statusId","driverRef","number_drivers","code","forename","surname","dob","nationality","driverStandingsId","wins"
"1",1,18,1,1,"22",1,"1","1",1,10,58,"1:34:50.616","5690616","39","2","1:27.452",1,"hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British",1,1
"2",2,18,2,2,"3",5,"2","2",2,8,58,"+5.478","5696094","41","3","1:27.739",1,"heidfeld","\N","HEI","Nick","Heidfeld","1977-05-10","German",2,0
"3",3,18,3,3,"7",7,"3","3",3,6,58,"+8.163","5698779","41","5","1:28.090",1,"rosberg","6","ROS","Nico","Rosberg","1985-06-27","German",3,0
"4",4,18,4,4,"5",11,"4","4",4,5,58,"+17.181","5707797","58","7","1:28.603",1,"alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish",4,0
"5",5,18,5,1,"23",3,"5","5",5,4,58,"+18.014","5708630","43","1","1:27.418",1,"kovalainen","\N","KOV","Heikki","Kovalainen","1981-10-19","Finnish",5,0
"6",6,18,6,3,"8",13,"6","6",6,3,57,"\N","\N","50","14","1:29.639",11,"nakajima","\N","NAK","Kazuki","Nakajima","1985-01-11","Japanese",6,0
"7",7,18,7,5,"14",17,"7","7",7,2,55,"\N","\N","22","12","1:29.534",5,"bourdais","\N","BOU","Sébastien","Bourdais","1979-02-28","French",7,0
"8",8,18,8,6,"1",15,"8","8",8,1,53,"\N","\N","20","4","1:27.903",5,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",8,0
"9",9,18,9,2,"4",2,"\N","R",9,0,47,"\N","\N","15","9","1:28.753",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,18,10,7,"12",18,"\N","R",10,0,43,"\N","\N","23","13","1:29.558",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,18,11,8,"18",19,"\N","R",11,0,32,"\N","\N","24","15","1:30.892",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,18,12,4,"6",20,"\N","R",12,0,30,"\N","\N","20","16","1:31.384",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,18,13,6,"2",4,"\N","R",13,0,29,"\N","\N","23","6","1:28.175",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,18,14,9,"9",8,"\N","R",14,0,25,"\N","\N","21","11","1:29.502",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,18,15,7,"11",6,"\N","R",15,0,19,"\N","\N","18","10","1:29.310",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,18,16,10,"20",22,"\N","R",16,0,8,"\N","\N","8","17","1:32.021",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,18,17,9,"10",14,"\N","R",17,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,18,18,11,"16",12,"\N","R",18,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,18,19,8,"19",21,"\N","R",19,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,18,20,5,"15",9,"\N","R",20,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,18,21,10,"21",16,"\N","R",21,0,0,"\N","\N","\N","\N","\N",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,18,22,11,"17",10,"\N","D",22,0,58,"\N","\N","44","8","1:28.736",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,19,8,6,"1",2,"1","1",1,10,56,"1:31:18.555","5478555","37","2","1:35.405",1,"raikkonen","7","RAI","Kimi","Räikkönen","1979-10-17","Finnish",16,1
