Country,Count_of_nationality,latitude,longtitude,Continent,Number_of_wins,,Number_of_teams
United States,158,37.09024,-95.712891,North America,2,,4
Argentina,24,-38.416097,-63.616672,South America,5,,1
Australia,18,-25.274398,133.775136,Oceania,4,,1
Austria,15,47.516231,14.550072,Europe,4,,1
Belgium,23,50.503887,4.469936,Europe,0,,3
Brazil,32,-14.235004,-51.92528,South America,8,,1
United Kingdom,165,55.378051,-3.435973,Europe,20,,56
Canada,14,56.130366,-106.346771,North America,1,,3
Chile,1,-35.675147,-71.542969,South America,0,,1
China,1,35.86166,104.195397,Asia,0,,1
Colombia,3,4.570868,-74.297333,South America,0,,1
Czech Republic,1,49.817492,15.472962,Europe,0,,1
Denmark,5,56.26392,9.501785,Europe,0,,1
Netherlands,18,52.132633,5.291266,Europe,2,,2
Finland,9,61.92411,25.748151,Europe,4,,1
France,73,46.227638,2.213749,Europe,4,,7
Germany,53,51.165691,10.451526,Europe,12,,7
Hungary,1,47.162494,19.503304,Europe,0,,1
India,2,20.593684,78.96288,Asia,0,,2
Indonesia,1,-0.789275,113.921327,Asia,0,,1
Republic of Ireland,5,53.41291,-8.24389,Europe,0,,1
Italy,99,41.87194,12.56738,Europe,3,,19
Japan,20,36.204824,138.252924,Asia,0,,2
Malaysia,1,4.210484,101.975766,Asia,0,,2
Mexico,6,23.634501,-102.552784,North America,0,,1
Monegasque,4,31.791702,-7.09262,Europe,0,,2
New Zealander,9,-40.900557,174.885971,Oceania,1,,2
Poland,1,51.919438,19.145136,Europe,0,,1
Portugal,4,39.399872,-8.224454,Europe,0,,1
Zimbabwe,4,-19.015438,29.154857,Africa,0,,1
Russia,4,61.52401,105.318756,Europe,0,,1
South Africa,23,-30.559482,22.937506,Africa,1,,2
Spain,15,40.463667,-3.74922,Europe,2,,2
Sweden,10,60.128161,18.643501,Europe,0,,1
Switzerland,23,46.818188,8.227512,Europe,0,,4
Thailand,2,15.870032,100.992541,Asia,0,,1
Uruguay,4,-32.522779,-55.765835,South America,0,,1
Venezuela,3,6.42375,-66.58973,South America,0,,1
,,,,,,,
